Year,RMSE,MAE,spectral_norm
2020,10.776485696380359,9.717601448448248,1.7774912342726599
2021,17.169551119287753,16.11036466262601,1.8508106985511492
2022,4.168533036256261,3.3112866193558625,2.3306200974688767
2023,2.087327743693502,1.7279277154120827,2.34267821247873
2024,2.934764997525295,2.3258692211533956,2.347511611534399
