economy,Country,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
VEN,"Venezuela, RB",,3.19251943889351,8.53293376290748,3.90095116381761,11.1293452932631,4.16286666476383,1.51025011101866,2.83386903098939,7.33723265821627,0.706036796156368,7.71191438124387,1.47929120998987,1.28280503619366,7.10995789495608,2.06933320169247,2.89625778007183,7.72773984679837,6.27078351298829,2.34689637191248,0.764355145425426,-4.42132236441782,-1.28832143395154,2.64479628533559,-9.8555302269491,5.22290283259414,0.867445543503692,6.07980818844057,4.80107391677578,6.51035577626698,-13.9197067893711,6.4678522746499,9.72990963006499,6.06034937385407,0.275410410462172,-2.34933212064234,3.95160929610903,-0.197928583722387,6.37100504679063,0.294055160519548,-5.97045814641012,3.6869441668769,3.39423610779077,-8.85564735286771,-7.75530004959877,18.2866066891244,10.3179138043147,9.87214910851037,8.75357880785845,5.27785412398785,-3.20230265749002,-1.48879125078356,4.17642535923936,5.62595697508632,1.34309403607486,-3.89438647450667,-6.22137102671199,-17.0403345996548,-15.6714088720003,-19.6553415972227,-27.6579678662627,-29.9985699155957,0.955433428579269,8.00091310654791,4.00168591128376,5.29999999999984
URY,Uruguay,,2.49303791805684,-1.57454885002421,0.170458855734793,2.44052077893583,1.04560405431261,3.06285593493642,-3.65683411281653,1.88891174472745,5.8647406331108,2.33321338074524,-0.251711531030196,-1.31956986163931,0.275199617416817,2.89534459834873,6.09691431298931,3.93547017536275,1.45546117847255,5.37398534767648,6.1991167323612,5.84340090113461,1.55955982937495,-9.75787146088504,-10.274399195032,-1.142617449752,1.46653602887281,8.80980829469384,7.99313720510438,1.48093746177193,1.1039010238153,0.297348378681562,3.53880850451309,7.93158841395443,2.65754610698545,7.28134264410127,-1.44759896894408,5.57795776385868,8.54768320111596,4.51889009679091,-1.52094591992036,-1.92993063549235,-3.84412995940374,-7.73200721540044,0.805283915893824,5.00416035564457,7.4601321302473,4.09857735445401,6.54151084504817,7.17614466455107,4.24349419462426,7.8034096507169,5.16213302463606,3.53817872056869,4.63753862902416,3.23879122952364,0.370741257681345,1.68979822971775,1.74037643374211,0.164777608940113,0.928351141267498,-7.35732706484723,5.84427312558179,4.48622703072073,0.742128785315927,3.10825478066172
PER,Peru,,7.34709633145569,10.0352933342212,4.32824981844591,6.54786765047102,5.62173344947736,8.2389204457594,3.85256440782895,0.152237710931757,3.51445891251396,3.36594600332614,4.59053992759885,3.47753512310473,6.27693475562022,9.38683491938303,4.30086316548426,1.44711099517411,0.349063699303812,-2.64250297882154,4.09075057410003,5.94333539830841,5.55204181484046,-0.2227234441863,-10.408085798297,3.60828653816966,2.06113206625895,9.42596236073652,9.72614643050372,-9.44127344629392,-12.3120414471296,-4.98256353646605,2.2192591027909,-0.540509124723926,5.24357700773291,12.3083661848445,7.41139504735119,2.79897307912609,6.47682442079709,-0.391537555833821,1.49491064308833,2.69437139806912,0.617892325624297,5.45352893818767,4.16502313666112,4.95820320611745,6.28506032509601,7.5288990440594,8.5183877690955,9.1265683014642,1.0958236592427,8.33245910749577,6.32719240161117,6.13972470560435,5.85251821084928,2.38215737180541,3.25224477218451,3.95331871520767,2.51883544233135,3.969351341365,2.24063176875049,-10.9333065010382,13.3626240903125,2.8090335533015,-0.403242151494268,3.30394098171516
PRY,Paraguay,,6.90028551422945,3.30025851602093,4.71029133985073,4.21247735945683,6.16797475642743,1.99150333527275,9.15036720414034,4.52707384188076,4.70115140770775,5.55342573311894,5.538151942856,6.63129747573396,7.30281290740682,8.38152543650033,6.85244471412953,7.52594953142729,11.4940816019955,12.0287299461216,11.862146971295,11.712145943448,9.17045884942912,-1.39761771803515,-3.0426178847186,2.81659944601458,4.5231356783092,4.96483566571362,7.58230437604178,5.91537206556045,6.93520391103523,4.12328287941739,3.49365015491472,1.69642801124701,4.93635941475281,5.31791766023942,6.82281030358578,1.57378513175006,4.24251610269859,0.0680377558080636,-1.36607971240079,-2.31414056819045,-0.834054716746095,-0.0214043949985694,4.32074548551591,4.05741836363771,2.13349066459601,4.80711719268376,5.42162287218235,6.49629211973152,-0.261137328115808,11.0952312685449,4.28637120706239,-0.708043112304196,8.29307648937821,5.30123864475758,2.95715168364671,4.26802583314358,4.81007885552178,3.20425034080199,-0.401855100701937,-0.819785390945569,4.01673731776404,0.176038366149214,4.9992279112746,4.24996010464072
PAN,Panama,,10.926594841623,8.24473681997463,8.53878879939805,4.43213036829097,9.16003626205379,7.58140188284906,8.55293117898977,6.97738862373494,8.44138916877408,6.95922610779934,9.61613757840476,4.58281250525241,5.36431021720534,2.44831956246551,1.74091944012658,1.66446135972971,1.0940258905988,9.79264391816659,4.51475107985127,13.0844817290489,9.20680945357908,5.34845643837734,-4.49136434642946,2.70947377305887,4.94223365153981,3.56778822819052,-1.80905548139501,-13.3798437826627,1.56224700549564,8.09899300573224,9.41900577743102,8.20168016089661,5.45574435675844,2.85014710063089,1.75167879322248,4.07970276668888,7.70904005690254,8.38747203278514,5.21164589070221,4.2090057360153,0.949907875683692,2.50884408826073,5.09686013628365,8.1756535098435,8.27618322400723,9.8572387394466,13.1530653136012,10.197432548532,1.61186417596689,6.07339340909564,11.9088772241134,9.62729355007232,6.32435373509259,4.62581384604574,5.26691726402875,4.57196696307969,5.74405946988693,3.9181980847881,3.10306793272473,-17.8212299459324,16.4671248604202,11.0385475261766,7.16632946099945,2.74788545546916
NIC,Nicaragua,,7.49774339849093,10.8907983290977,10.8654792457821,11.6984790301544,9.52515582624807,3.30113639858887,6.96951382476809,1.34296005265668,6.23770390833241,1.35382659012741,3.30475650020483,2.22072289181064,6.41701397366108,14.1924250953043,-0.153246894342743,5.20945449847707,8.36848053029937,-7.83880037064259,-26.478788867521,4.6117322795338,5.36329018938126,-0.816361918743468,4.61321162700499,-1.56609391319724,-4.08185148731935,-1.01730916120101,-0.706352941499915,-12.4498220367125,-1.73821633052118,-0.0524997212688305,-0.189281493926757,0.386346578416166,-0.392936046663081,3.33772611282539,5.91190793658714,6.3442683605154,3.96665092760821,3.71168146396694,7.03597046350201,4.10159025073438,2.96084349057273,0.753938876079573,2.52073289551447,5.31217056950739,4.28239833770654,4.15294559846254,5.0763520180987,3.43571693608081,-3.2926651586197,4.41009911716546,6.31668553491842,6.4961364710876,4.92709413447304,4.78546013589983,4.79226768332697,4.56314739524967,4.63120757580209,-3.3633566598573,-2.89686986728901,-2.23654176262323,10.454389484408,3.55029945613975,4.42774384760374,3.5878302292345
MEX,Mexico,,5.00000000072309,4.66441467253127,8.10688692761114,11.9054807657866,7.09999999747173,6.09613930256681,5.85492487897324,9.42327881831926,3.41862002349839,6.50248403469675,3.76246768495716,8.22880731245257,7.86111986063614,5.77682723020618,5.74448504862428,4.41744413626853,3.39063970656844,8.95694232786306,9.69817013704461,8.75662242586424,9.58584115454994,-0.0495863656386035,-4.62412795987231,3.51341334932273,1.91921578613494,-3.92995990782299,2.06336322631584,1.21826122938586,3.62544873456009,5.25004329944582,3.97590497138043,3.56861354412243,2.86699945461075,4.39412788764169,-5.91029962358286,6.21829715869302,7.19887615284711,6.18507893082885,2.75503039300564,5.02928399378261,-0.450845253215945,-0.236588001922641,1.18554486709559,3.56544100946846,2.11324712586392,4.80501352746852,2.07786393438754,0.943331863036903,-6.29525055780502,4.9713345832195,3.44404505794418,3.55321075993527,0.852101559410627,2.50376350288664,2.70232342550646,1.77249323845399,1.87172853327193,1.97208209405635,-0.392690505066824,-8.35403458167995,6.0484834621255,3.70975709163623,3.35354140652768,1.42742769080466
HND,Honduras,,1.66356461642803,2.18523652981222,1.26827909278258,1.54715605635589,2.58333582121715,-1.11932816500057,3.76437003674084,-1.17815493672721,0.881367760385189,4.94188689356858,4.65493718159253,3.90537684149935,4.44128830650889,9.41117622705514,5.3200213329476,16.1000612479848,8.67824908440281,12.9383124816161,11.5302614235207,13.0461742022835,7.25433073403863,4.3913059235414,6.99586711936102,2.35846275081614,4.66822602953714,5.53564279745997,1.74009422609132,7.57442109483326,7.12826947076638,21.1713674322465,26.0469004465336,9.03523521415093,13.6371742968735,29.0190204112194,24.6744629260929,22.9573908956763,22.4277453268568,11.5761659820033,11.5758601477966,9.61221881702615,2.72319327321379,3.75433786119939,4.54703805165397,6.23230296069102,6.05059922215973,6.56724355177587,6.18832716678008,4.23160011009342,-2.43162787988011,3.73114034433009,3.83569066207505,4.12868774866939,2.79155975746801,3.0580805621437,3.84007997093951,3.89297219726413,4.84291391050387,3.84499476966735,2.55963434592314,-8.96508223267296,12.5652843771279,4.14356194013767,3.57584760454412,3.55397003296669
HTI,Haiti,,-2.93198029126782,7.88757589385567,-1.89279255057041,-1.64735736887533,2.16179786144892,-0.575786801046178,-2.11768620106355,3.18161732148926,3.81194328486592,0.651153708034172,6.48038050132288,0.977107758966667,4.75532209168918,5.77988915170621,1.12275449104284,8.43883542963357,3.7081464367304,6.20886353648547,7.5604214016743,7.37468791939079,-2.85270971115165,-3.56374522434297,0.908181461269791,0.300917036236442,0.603631294369663,-0.497504788372368,-0.793648700197082,0.200426837325949,-2.91342439807192,1.03812280198248,1.88054472396281,-5.30993292251178,-5.42629599215383,-11.9506292939561,9.89770748815705,4.14077332856783,2.70471393077787,2.18184032957123,2.71024801048499,0.870059259424892,-0.342747883252144,1.05182013450109,3.48077973188326,-1.3178567596495,3.07217337664731,1.76875060288195,4.70652994008303,2.6580323082747,5.89037894844316,-5.65151153448299,5.09821354410036,0.502424403581585,4.32478411472874,2.88877250863379,1.40000000859727,1.81246807847532,2.51027134544685,1.66781095484656,-1.72309699839232,-3.30550546965893,-1.79823988931486,-1.68198396897978,-1.86388420254838,-4.16963395808132
GTM,Guatemala,,4.29851834874688,3.53650126284866,9.54104393054875,4.63299243190491,4.36176931452728,5.51210399019357,4.11217561696343,8.76603505425516,4.73690901583991,5.70788359811974,5.58375454736793,7.33305162061406,6.78283433749129,6.37502990286956,1.94999082158344,7.38726562476302,7.80922068405067,4.99668981954586,4.71345609171885,3.75997816033124,0.646858610432233,-3.53008900954855,-2.57209144433914,0.496697752643456,-0.609338955584263,0.143049595525113,3.54398330651921,3.89238706354786,3.94258951982349,3.10256317557587,3.65824875006811,4.83833884688683,3.92713194504024,4.03374149641458,4.94854750210382,2.95777988740716,4.36408994678341,4.99352780305848,3.8470621889051,3.6088687174876,2.33257486608854,3.83928708556792,2.56037766801896,3.13791683609193,3.27602692588886,5.35139778711536,6.33771869016203,3.29352400028485,0.476898106596394,2.88417542800377,4.16390688293349,2.97470856847661,3.69481894978053,4.44397783368888,4.09217081621244,2.67780277623314,3.07985126948702,3.40687348346576,4.01789785040324,-1.78555175063326,8.04170378184928,4.18451817243695,3.5331575177533,3.65186382894819
